name,price,original_price,rating,reviews,camera,battery,display,design
APPLE iPhone 14 (Starlight  128 GB),71999,79900,4.7,880,4.6,4.4,4.7,4.6
SAMSUNG Galaxy F04 (Jade Purple  64 GB)  (4 GB RAM),7499,11499,4.5,154,3.4,3.9,3.9,3.8
Infinix SMART 7 (Night Black  64 GB)  (4 GB RAM),7499,9999,5,,,,,
Infinix SMART 7 (Emerald Green  64 GB)  (4 GB RAM),7499,9999,4.3,204,3.2,4.0,3.6,4.0
Infinix SMART 7 (Azure Blue  64 GB)  (4 GB RAM),7499,9999,5,,,,,
MOTOROLA e13 (Aurora Green  64 GB)  (4 GB RAM),7999,10999,4,561,3.2,4.1,3.8,4.1
APPLE iPhone 14 Plus (Midnight  128 GB),80999,89900,4.7,415,4.6,4.7,4.7,4.7
MOTOROLA e40 (Carbon Gray  64 GB)  (4 GB RAM),8499,10999,4.2,6944,3.5,4.0,3.8,3.9
APPLE iPhone 14 Plus (Starlight  128 GB),80999,89900,4.7,415,4.6,4.7,4.7,4.7
APPLE iPhone 14 (Purple  128 GB),71999,79900,4.7,880,4.6,4.4,4.7,4.6
MOTOROLA g52 (Charcoal Grey  64 GB)  (4 GB RAM),10999,17999,4.2,1431,3.5,4.2,4.4,4.1
REDMI 10 (Shadow Black  64 GB)  (4 GB RAM),9499,14999,4.3,12523,3.6,4.1,3.9,3.9
POCO C50 (Royal Blue  32 GB)  (2 GB RAM),6499,8999,4.4,308,3.5,4.1,3.9,4.1
REDMI 10 (Pacific Blue  64 GB)  (4 GB RAM),9499,14999,4.3,12523,3.6,4.1,3.9,3.9
MOTOROLA g52 (Metallic White  128 GB)  (6 GB RAM),12999,19999,4.2,3545,3.5,4.2,4.4,4.2
APPLE iPhone 14 Plus (Purple  128 GB),80999,89900,4.7,415,4.6,4.7,4.7,4.7
POCO C50 (Royal Blue  32 GB)  (3 GB RAM),6749,9999,4.2,153,3.4,4.1,3.7,4.0
MOTOROLA e13 (Creamy White  64 GB)  (4 GB RAM),7999,10999,4,561,3.2,4.1,3.8,4.1
REDMI 10 (Midnight Black  64 GB)  (4 GB RAM),9499,14999,4.3,12523,3.6,4.1,3.9,3.9
SAMSUNG Galaxy F23 5G (Forest Green  128 GB)  (6 GB RAM),15999,23999,4.3,13071,3.8,4.0,4.0,4.0
Infinix HOT 20 Play (Aurora Green  64 GB)  (4 GB RAM),8199,11999,4.4,741,3.6,4.3,4.1,4.1
MOTOROLA e13 (Cosmic Black  64 GB)  (4 GB RAM),7999,10999,4,561,3.2,4.1,3.8,4.1
Infinix HOT 20 Play (Luna Blue  64 GB)  (4 GB RAM),8199,11999,4.4,741,3.6,4.3,4.1,4.1
Infinix HOT 20 Play (Racing Black  64 GB)  (4 GB RAM),8199,11999,4.4,741,3.6,4.3,4.1,4.1
